session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6218f04718d49d2a9d44746c,5f29b82cee0e83129d1c2748,RETURNED,2022-02-25 15:06:32.571000,,246268.170196,32,44,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f047d77b1e9bbe84ff5a,5f9765e68112f6137e06db5d,AWAITING REVIEW,2022-02-25 15:05:43.641000,2022-02-25 15:20:35.647000,892.006,21,152,0,100,,4A0A6BF5,Poland,Poland,DATA EXPIRED,Polish,"English, Polish",Poland,Female,DATA EXPIRED,Yes
6218f04a090895c5b3cc1699,60d336105fb5f97d9f907250,RETURNED,2022-02-25 15:08:33.201000,,246147.588358,21,30,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f05911e986e9f7017554,5f4cf80c0bce10081b6460e2,AWAITING REVIEW,2022-02-25 15:06:01.492000,2022-02-25 15:21:42.191000,940.699,24,135,0,100,,4A0A6BF5,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Italy,Male,Yes,Yes
6218f05f5da2cbc45eb0de4f,5f986033196f2d10b8365314,RETURNED,2022-02-25 15:06:21.718000,,246279.114902,22,48,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f0645ce13142b6906246,60f20328d17a86adb4319f44,AWAITING REVIEW,2022-02-25 15:06:12.704000,2022-02-25 15:39:56.614000,2023.91,26,32,1,100,,4A0A6BF5,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,"English, Afrikaans",South Africa,Male,Yes,Yes
6218f06ca851f3a1dc208447,5f7b241d63e1da06afec1b30,AWAITING REVIEW,2022-02-25 15:06:20.132000,2022-02-25 15:19:39.927000,799.795,22,57,0,100,,4A0A6BF5,Portugal,Spain,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
6218f071a4370a292366633e,5edda704856ca9ad1f94b16b,AWAITING REVIEW,2022-02-25 15:06:25.277000,2022-02-25 15:39:20.898000,1975.621,20,216,1,100,,4A0A6BF5,South Africa,South Africa,Other,Afrikaans,"Afrikaans, English",South Africa,Female,Yes,Yes
6218f07565198fee36ff833f,5da8912f5a994b001650f01f,AWAITING REVIEW,2022-02-25 15:14:56.626000,2022-02-25 15:33:40.671000,1124.045,40,258,1,100,,4A0A6BF5,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English, French, Spanish",Portugal,Male,DATA EXPIRED,Yes
6218f076021093b191b97869,5ef9f6fecb96bd7c205e2d70,AWAITING REVIEW,2022-02-25 15:06:30.837000,2022-02-25 15:28:44.714000,1333.877,20,165,1,100,,4A0A6BF5,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
6218f077ba5e60846e828768,6035180efe035f076f43b1d4,AWAITING REVIEW,2022-02-25 15:06:31.325000,2022-02-25 15:28:36.191000,1324.866,34,182,1,100,,4A0A6BF5,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch, German",Netherlands,Male,DATA EXPIRED,Yes
6218f07e5538ac1f09404a99,60ece1f744359d215975d493,RETURNED,2022-02-25 15:13:15.936000,,245865.056656,26,102,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f0861b7207109373b3bb,604617f91bb8ad0468147f9f,AWAITING REVIEW,2022-02-25 15:11:59.587000,2022-02-25 15:40:23.381000,1703.794,29,133,1,100,,4A0A6BF5,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Male,No,Yes
6218f089249fe28959dcc3f6,5df15d59814bba0712fc184c,AWAITING REVIEW,2022-02-25 15:06:49.073000,2022-02-25 15:45:01.906000,2292.833,40,151,1,100,,4A0A6BF5,Bangladesh,Netherlands,DATA EXPIRED,Bengali,English,Bangladesh,Male,DATA EXPIRED,Yes
6218f089249fe28959dcc3f7,60e703e4908998ebc5679e8a,RETURNED,2022-02-25 15:17:00.057000,,245641.004319,22,49,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f08e61daf25498f99c5e,5fc76061b0715f000be304d7,RETURNED,2022-02-25 15:07:11.205000,,246229.88526,31,70,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f08eb4bcf0857127b5a6,5f38892ba445a53b3bca65ad,AWAITING REVIEW,2022-02-25 15:06:54.976000,2022-02-25 15:26:10.493000,1155.517,23,146,0,100,,4A0A6BF5,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,No,Yes
6218f0945f661ebc50974b74,5f2ef7e2704e4d10b4daec33,AWAITING REVIEW,2022-02-25 15:07:30.693000,2022-02-25 15:42:16.247000,2085.554,24,64,1,100,,4A0A6BF5,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No,Yes
6218f0972457b10865ea032d,5f0c5f58f08fe65bd313f561,AWAITING REVIEW,2022-02-25 15:07:03.638000,2022-02-25 15:26:35.909000,1172.271,24,64,0,100,,4A0A6BF5,Poland,Poland,Unemployed (and job seeking),DATA EXPIRED,"English, Polish",Poland,Male,DATA EXPIRED,Yes
6218f0981b7207109373b3bc,5caf52b18b46a700131eec10,AWAITING REVIEW,2022-02-25 15:15:35.566000,2022-02-25 15:35:38.395000,1202.829,56,520,3,100,,4A0A6BF5,United Kingdom,Greece,Full-Time,DATA EXPIRED,"English, Greek",United Kingdom,Female,No,Yes
